Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.078,-559732.125,-555792.4375,-559846.625,-558457.0625,-558359.8125,-558735.4375,-557071.25,-558055.5,-561344.25,-561895.0625,-562074,-561771.104166667
0.08,-558075.4375,-556200.9375,-556951,-557075.791666667,-558281.625,-556566.375,-557966.375,-557604.791666667,-559033.5,-558902.9375,-559520.9375,-559152.458333333
0.082,-555918.75,-558657,-559099.25,-557891.666666667,-560177.5,-556890.5,-560461.875,-559176.625,-558202.8125,-558879.5,-558997.1875,-558693.166666667
0.084,-558612.4375,-557752,-557659.4375,-558007.958333333,-557561.3125,-559416.125,-558612.375,-558529.9375,-561552.75,-560513.75,-559608.875,-560558.458333333
0.086,-558415.375,-557706,-559799.8125,-558640.395833333,-558980,-559485.875,-557600.25,-558688.708333333,-559018.125,-559017.75,-558070.375,-558702.083333333
0.088,-557566.125,-559125.375,-559023.4375,-558571.645833333,-558598.25,-557731.375,-558391,-558240.208333333,-558475.9375,-558604.3125,-559958.5,-559012.916666667
0.09,-556915.6875,-557158.125,-557217.8125,-557097.208333333,-558586.3125,-558652.625,-557332.75,-558190.5625,-558414.9375,-559028.9375,-558383.375,-558609.083333333
0.092,-559248.375,-557673.375,-558589.0625,-558503.604166667,-557743.5,-557750.8125,-556689.25,-557394.520833333,-560529.5,-558779.375,-557902.75,-559070.541666667
0.094,-558409.5625,-558488.9375,-558114.0625,-558337.520833333,-558134.875,-558902.375,-559771.25,-558936.166666667,-558589.8125,-558241.75,-559848.5,-558893.354166667
0.096,-559069.9375,-557664.9375,-559532.5625,-558755.8125,-559010.125,-560423,-557406.875,-558946.666666667,-559994.625,-560040.5,-558280.5,-559438.541666667
0.098,-557404.625,-558840.5,-558334.75,-558193.291666667,-558066.125,-559111.25,-558458.0625,-558545.145833333,-559975.125,-557061.875,-560851.5,-559296.166666667
0.1,-557304.375,-558387.75,-558546.6875,-558079.604166667,-558647.5,-557766.125,-558000.4375,-558138.020833333,-558156.625,-560355.3125,-558701.875,-559071.270833333
0.102,-557878,-558978.75,-558818.75,-558558.5,-557665,-557246.125,-558965.3125,-557958.8125,-559056.5625,-558526.5,-559941.625,-559174.895833333
0.104,-560119.125,-560075.5625,-559760.5,-559985.0625,-558594.8125,-557768.875,-555564.5625,-557309.416666667,-558742.9375,-558127.6875,-558946.75,-558605.791666667
0.106,-559496.125,-559723.875,-559487.6875,-559569.229166667,-556825.375,-558607.125,-558677.625,-558036.708333333,-559813,-557322.75,-558999.875,-558711.875
0.108,-557717.25,-557777.75,-557454.75,-557649.916666667,-559267.5,-561797.0625,-559435.5625,-560166.708333333,-560973.875,-560164.3125,-559571.5,-560236.5625
0.11,-556062.875,-558915.375,-557405.5625,-557461.270833333,-558809.5,-556639.0625,-560976.5625,-558808.375,-559543.75,-560282.625,-558314.75,-559380.375
0.112,-556331.5,-557626.5,-558003.625,-557320.541666667,-557775.5,-560679.875,-558749.5,-559068.291666667,-557737.625,-559713.25,-558585.0625,-558678.645833333
0.114,-559790.8125,-558735.75,-561577.9375,-560034.833333333,-558376.625,-558003.5,-557390.3125,-557923.479166667,-558667.4375,-560065.125,-556761.875,-558498.145833333
0.116,-556260.1875,-556703.875,-559446,-557470.020833333,-557126.875,-559417.4375,-560700.25,-559081.520833333,-559860.375,-559579.5,-557532.5,-558990.791666667
0.118,-556869.625,-555640.0625,-557178,-556562.5625,-555041.125,-557655.8125,-559632.9375,-557443.291666667,-558509.6875,-560068.9375,-559162.75,-559247.125
0.12,-557440.6875,-556464.875,-559336.75,-557747.4375,-561141.6875,-557584.75,-558751,-559159.145833333,-558558.125,-557943.9375,-559991.1875,-558831.083333333
0.122,-559444.9375,-557064.3125,-559823.8125,-558777.6875,-558704.25,-558039.125,-556428.75,-557724.041666667,-559163.875,-559999.6875,-558089.5,-559084.354166667
0.124,-556540.8125,-558682.875,-560601.8125,-558608.5,-558499.75,-556306.875,-558737.4375,-557848.020833333,-558654.1875,-558915,-560436.4375,-559335.208333333
0.126,-557592.125,-557231.625,-558292.1875,-557705.3125,-558800.9375,-558675.9375,-558066.25,-558514.375,-559369.9375,-560395.3125,-559777,-559847.416666667
0.128,-558232,-558159.6875,-560169.6875,-558853.791666667,-559872.5625,-557934.0625,-557845.75,-558550.791666667,-558850.375,-558190.375,-559325.875,-558788.875
0.13,-558021.375,-559323.0625,-556852.0625,-558065.5,-558126.875,-559098.9375,-559359.125,-558861.645833333,-557668.75,-558025.6875,-558129.375,-557941.270833333
0.132,-558825.8125,-559975.375,-559288.1875,-559363.125,-558441.375,-556358.9375,-558885.875,-557895.395833333,-559780.75,-557447.25,-557986.875,-558404.958333333
0.134,-558716.5625,-558055.5625,-560644.5,-559138.875,-558185.25,-559393.6875,-556522.75,-558033.895833333,-560060.5625,-559289.25,-561001,-560116.9375
0.136,-558909.625,-557084.125,-561629.25,-559207.666666667,-558699.5625,-557706.625,-559637.1875,-558681.125,-558984.25,-560185.25,-557262.3125,-558810.604166667
0.138,-560330.1875,-558293.0625,-558543.25,-559055.5,-558368.875,-557065.875,-559948.0625,-558460.9375,-559267.5,-559326.5,-558606.9375,-559066.979166667
0.14,-558171.125,-559249.75,-559914.9375,-559111.9375,-561060.25,-558612.0625,-558026.375,-559232.895833333,-560341.25,-559986.375,-558986.0625,-559771.229166667
0.142,-557545.5,-559705.625,-559594.0625,-558948.395833333,-556953.0625,-557412.75,-558977.375,-557781.0625,-558836.9375,-557348.5,-560352.5,-558845.979166667
0.144,-557645.375,-557004,-559250.375,-557966.583333333,-557642.3125,-557225.25,-558261.4375,-557709.666666667,-558525,-558962.8125,-559589.8125,-559025.875
0.146,-557114.8125,-559768.875,-558441.9375,-558441.875,-558657,-560681.75,-559296.75,-559545.166666667,-557481.9375,-557913,-560257.6875,-558550.875
0.148,-560072.125,-559362.5,-558377.8125,-559270.8125,-556507,-558194.125,-560081,-558260.708333333,-560409.125,-558540.125,-559022.75,-559324
0.15,-558601.375,-558663.25,-558179.6875,-558481.4375,-561315.4375,-560845.75,-558425.75,-560195.645833333,-559316.4375,-559590.125,-559135.75,-559347.4375
0.152,-556498.5,-560512.6875,-557129.0625,-558046.75,-556632,-556659.8125,-560748.25,-558013.354166667,-558512.375,-560515,-557850.75,-558959.375
0.154,-559325,-558928.75,-555184.8125,-557812.854166667,-559352.3125,-556603.3125,-559430.125,-558461.916666667,-558891.9375,-559502.5,-558104.5625,-558833
0.156,-558916.875,-560129.0625,-557834.8125,-558960.25,-559038.4375,-557928.3125,-558787.5,-558584.75,-559445,-559211.5,-559439,-559365.166666667
0.158,-558443.1875,-559394.9375,-558905.25,-558914.458333333,-557172.625,-556845.6875,-559416.5,-557811.604166667,-559402.5625,-559696.625,-559048.1875,-559382.458333333
0.16,-556861.1875,-557800.125,-559409.75,-558023.6875,-559711.375,-557030.875,-557059.75,-557934,-560139,-558577.125,-559241.8125,-559319.3125
0.162,-556547.75,-557640.875,-559795.1875,-557994.604166667,-558507.875,-558935.625,-557471.25,-558304.916666667,-560557.8125,-559197.8125,-556343.4375,-558699.6875
0.164,-558084.5,-558193.375,-558669,-558315.625,-557868.5,-556538.0625,-559861.5,-558089.354166667,-559901.3125,-558822.75,-559097.1875,-559273.75
0.166,-555549.5,-559620.25,-559655.5,-558275.083333333,-558604,-561069.125,-559664.75,-559779.291666667,-560234.8125,-559725.125,-559109.3125,-559689.75
0.168,-554655.6875,-560195.3125,-558127.5,-557659.5,-557067.375,-558402.25,-559154.625,-558208.083333333,-562002.875,-560600,-561376.375,-561326.416666667
0.17,-557575.6875,-556818,-556901.0625,-557098.25,-559617.5625,-560304,-559299.4375,-559740.333333333,-560548.5625,-561017.9375,-560090.25,-560552.25
0.172,-557794.375,-556841.8125,-559369.375,-558001.854166667,-557956.8125,-557966.375,-558508.9375,-558144.041666667,-561300.4375,-558752.4375,-559801.625,-559951.5
0.174,-557105,-556887.625,-557658.3125,-557216.979166667,-558416.9375,-556269.875,-557084.625,-557257.145833333,-557652.25,-561186.375,-559700.5,-559513.041666667
0.176,-558457.125,-559089.125,-558165.125,-558570.458333333,-556569.5,-560138.6875,-557859.0625,-558189.083333333,-557611.5,-560428.625,-559567.75,-559202.625
0.178,-556012.8125,-556981.375,-557126.5,-556706.895833333,-559985.5625,-555606.5,-557540,-557710.6875,-559270.25,-559148.625,-558713.4375,-559044.104166667
0.18,-559140.125,-559413.8125,-558796.5625,-559116.833333333,-559710.125,-557153.75,-557478.5,-558114.125,-559459.875,-558913.25,-555769.9375,-558047.6875
0.182,-560681.6875,-558849.0625,-557490.25,-559007,-558761.75,-558591.5,-559858.875,-559070.708333333,-562152.9375,-559110,-559482.125,-560248.354166667
0.184,-556330.1875,-556793.6875,-559027.4375,-557383.770833333,-558511.25,-556703.5,-558681.0625,-557965.270833333,-558848.375,-561380.5,-560108.625,-560112.5
0.186,-558405.125,-558670.8125,-558577.5,-558551.145833333,-558559.125,-560556.3125,-555664,-558259.8125,-562468.5,-557469.25,-558882.1875,-559606.645833333
0.188,-559078.875,-559843.5625,-556810.8125,-558577.75,-556907.75,-556812.125,-559944.8125,-557888.229166667,-559206.5,-558481.75,-560618.75,-559435.666666667
0.19,-558368.875,-556642.625,-558004.5,-557672,-559599.5,-556722.75,-559749.375,-558690.541666667,-559425.75,-560271.375,-559770.875,-559822.666666667
0.192,-559984.5,-556649.9375,-559163.375,-558599.270833333,-559675.125,-559731.9375,-559507.4375,-559638.166666667,-556840,-559285.8125,-559758.75,-558628.1875
0.194,-559759.5625,-558507.375,-561566.4375,-559944.458333333,-559625.125,-558691.25,-557383.375,-558566.583333333,-558924.6875,-558709.625,-560986.625,-559540.3125
0.196,-557191.5,-554987.625,-556804.25,-556327.791666667,-556245.6875,-559418.125,-560855.8125,-558839.875,-556305.0625,-560156.4375,-556892,-557784.5
0.198,-558209.25,-557852.3125,-557485.5,-557849.020833333,-560855.625,-555790,-558705.25,-558450.291666667,-560108.5,-558753.625,-559044.9375,-559302.354166667
0.2,-559036.625,-557442.5625,-557842.1875,-558107.125,-558580.3125,-557639.875,-557943.6875,-558054.625,-557357.25,-559797.8125,-557692.375,-558282.479166667
0.202,-556952.5625,-557037.25,-559297.6875,-557762.5,-557190.875,-556857,-559334,-557793.958333333,-558409.8125,-559158.25,-559760,-559109.354166667
0.204,-558080.5625,-557956.125,-558377.25,-558137.979166667,-560053.4375,-558328.25,-559034.4375,-559138.708333333,-560748.75,-560524.6875,-560457.1875,-560576.875
0.206,-557306.75,-557724.625,-558943.125,-557991.5,-560090,-556121.3125,-560102.625,-558771.3125,-555837.9375,-558527.8125,-558512.25,-557626
0.208,-561145.8125,-557914.875,-557856.8125,-558972.5,-559017.375,-558527.6875,-558598.625,-558714.5625,-558164.0625,-560682.1875,-556512.25,-558452.833333333
0.21,-559130.875,-556502.125,-557379.4375,-557670.8125,-557060.0625,-559278.0625,-559313.375,-558550.5,-558185,-560076.8125,-559649,-559303.604166667
0.212,-559619.0625,-559252,-557862.5,-558911.1875,-558634.875,-557302.4375,-559152.0625,-558363.125,-558569.375,-559446.25,-559008.8125,-559008.145833333
0.214,-557301.125,-557651.5625,-558129.625,-557694.104166667,-558919.75,-559161.0625,-555818.1875,-557966.333333333,-559291.75,-558822.75,-555858,-557990.833333333
0.216,-555374.375,-556717.1875,-557557.25,-556549.604166667,-560843.25,-556547.75,-561274.875,-559555.291666667,-560054.125,-558566.875,-558320.75,-558980.583333333
0.218,-558436.5,-557783.625,-558946.375,-558388.833333333,-556768.375,-558897.4375,-557322.625,-557662.8125,-557351.875,-559431.75,-556760.375,-557848
0.22,-559873.75,-558352.1875,-559883.125,-559369.6875,-557739.75,-559023.375,-557448.75,-558070.625,-556435.5,-555436.6875,-557600.5,-556490.895833333
0.222,-557826.0625,-557418.8125,-557608.75,-557617.875,-559252.0625,-557995.625,-557804.125,-558350.604166667,-556777.5625,-559717.75,-559789.8125,-558761.708333333
0.224,-559134.75,-557789.125,-558716.75,-558546.875,-559263.375,-558669.125,-558911.625,-558948.041666667,-559459.3125,-558957.5625,-558138.375,-558851.75
0.226,-557071.75,-556786.375,-559586,-557814.708333333,-557817.5,-560272.8125,-557753.625,-558614.645833333,-557711.1875,-560833.75,-559007.4375,-559184.125
0.228,-560470.5,-557993.75,-557977.5,-558813.916666667,-560222.5,-559273.375,-561614.25,-560370.041666667,-559524.6875,-561519.6875,-559571.125,-560205.166666667
0.23,-558464.8125,-558543,-557677.0625,-558228.291666667,-559051.5,-560290.375,-560019.4375,-559787.104166667,-559470.125,-559576.375,-559265.875,-559437.458333333
0.232,-558644,-558554.6875,-558697.5,-558632.0625,-560007.5,-558712.875,-559684,-559468.125,-556825.8125,-557826.75,-556516.9375,-557056.5
0.234,-559250.25,-558371.625,-557884.75,-558502.208333333,-558281.4375,-557847.25,-556740.875,-557623.1875,-560555.25,-560550.5,-560174,-560426.583333333
0.236,-559392.4375,-558795.1875,-557650.125,-558612.583333333,-557867.3125,-557836.375,-559565.625,-558423.104166667,-559545.4375,-560290.25,-558494.75,-559443.479166667
0.238,-559713,-560073.875,-557681.5,-559156.125,-557672.8125,-559619.625,-559000.125,-558764.1875,-559063.6875,-559509.5,-556634.125,-558402.4375
0.24,-560209.9375,-561039.5,-558275.5,-559841.645833333,-557928.125,-558656.625,-560654.375,-559079.708333333,-556613.9375,-560109.375,-558010.25,-558244.520833333
0.242,-556840.0625,-557127.875,-558077.625,-557348.520833333,-556713.75,-558069.5625,-560465.125,-558416.145833333,-558000.125,-557978.625,-560475.9375,-558818.229166667
0.244,-557395.5,-560341.25,-558518.125,-558751.625,-560121,-560642.0625,-559579.625,-560114.229166667,-560035.6875,-558397.1875,-560292.125,-559575
0.246,-557123.25,-556541.25,-558531.8125,-557398.770833333,-559410.625,-558506.5,-559121.125,-559012.75,-558196.8125,-559097.0625,-558821.875,-558705.25
0.248,-556666.75,-558951,-556104.625,-557240.791666667,-558320.625,-559033.8125,-559466.5,-558940.3125,-556900.125,-560235.375,-558777.0625,-558637.520833333
0.25,-556968.375,-557173.4375,-559477.125,-557872.979166667,-558170.5625,-558568.875,-557952.125,-558230.520833333,-556217.875,-557890.8125,-559745.625,-557951.4375
0.252,-556151.4375,-558405.5,-559574.25,-558043.729166667,-556081.25,-557574.5625,-557876.5,-557177.4375,-560263.25,-559342.5,-559550.5625,-559718.770833333
0.254,-557806.9375,-556239.75,-558885.75,-557644.145833333,-560654.25,-558596.875,-559733.5625,-559661.5625,-558850.625,-559723.6875,-559433.25,-559335.854166667
0.256,-557505.5625,-557371.6875,-559966.4375,-558281.229166667,-557310.1875,-558418.375,-559591.3125,-558439.958333333,-560337.25,-558103.4375,-558103.5,-558848.0625
0.258,-558013.5,-556417.3125,-557196.0625,-557208.958333333,-559467.125,-557530.8125,-556626.25,-557874.729166667,-557343.3125,-558840.8125,-556095.3125,-557426.479166667
0.26,-558976.875,-555822.75,-558352.5,-557717.375,-558083.4375,-560955.5,-559939.25,-559659.395833333,-559119.5,-561382.9375,-559212.8125,-559905.083333333
0.262,-556624.125,-557627.5,-558416,-557555.875,-559671.25,-559086,-560898.3125,-559885.1875,-559697.5,-559502.375,-559982.75,-559727.541666667
0.264,-558185.625,-555326.625,-559257.875,-557590.041666667,-559159.125,-558448.125,-559134.25,-558913.833333333,-558792.3125,-558881.75,-556372.875,-558015.645833333
0.266,-558026.6875,-558034.875,-556652.875,-557571.479166667,-557514.375,-558510.4375,-559140.25,-558388.354166667,-558764.3125,-557850.0625,-559476.125,-558696.833333333
0.268,-559028.0625,-558600.4375,-556557.5625,-558062.020833333,-559164.875,-558211.9375,-558112.125,-558496.3125,-559507.4375,-558605.3125,-559437.625,-559183.458333333
0.27,-558475.5625,-558070.625,-558651.625,-558399.270833333,-556400.8125,-553853,-556354.8125,-555536.208333333,-560133.5,-559332.625,-558434.625,-559300.25
0.272,-558587.8125,-558277.0625,-556446.375,-557770.416666667,-559482.25,-556430.125,-558900.75,-558271.041666667,-559505.375,-560270.3125,-561265,-560346.895833333
0.274,-557616.125,-559688.0625,-555889.5,-557731.229166667,-559301.75,-558479.875,-559251.1875,-559010.9375,-559914.6875,-559753,-561044.8125,-560237.5
0.276,-557938.8125,-557459,-558926.1875,-558108,-557710.5,-557172.625,-558903,-557928.708333333,-558565.5,-556248.875,-561209.5,-558674.625
0.278,-558636.375,-557775,-558275.6875,-558229.020833333,-557461.5,-556704.875,-559329.9375,-557832.104166667,-558785.5625,-558477.625,-556785.625,-558016.270833333
0.28,-560929.0625,-559638.75,-559774.375,-560114.0625,-557620.5,-561784.625,-560417.6875,-559940.9375,-559053.4375,-556530.1875,-558222.625,-557935.416666667
0.282,-558576.25,-556460.5,-558531.1875,-557855.979166667,-557682.625,-557909.9375,-558912.75,-558168.4375,-559429.25,-558423,-558630.875,-558827.708333333
0.284,-557115.9375,-557943.5625,-557867.8125,-557642.4375,-558697.75,-558132.625,-557320.3125,-558050.229166667,-559201.0625,-562156.875,-558067.625,-559808.520833333
0.286,-557155.625,-556933.4375,-557350.8125,-557146.625,-559364.1875,-558703.75,-558643,-558903.645833333,-560107.5,-558870.125,-557607.1875,-558861.604166667
0.288,-558534.75,-557781.4375,-559718.8125,-558678.333333333,-558592.125,-558209.5,-559719.25,-558840.291666667,-560539.0625,-558587.5,-559045.5,-559390.6875
0.29,-559026.125,-555708.375,-558279.375,-557671.291666667,-560479.3125,-558272,-557007.5,-558586.270833333,-558403.0625,-559836.25,-558915.6875,-559051.666666667
0.292,-556807.625,-554598.875,-558673.5,-556693.333333333,-559316.125,-559625.75,-558284.1875,-559075.354166667,-558679.5625,-559386.5,-558132.625,-558732.895833333
0.294,-558332.9375,-557333.25,-558909.0625,-558191.75,-558935.25,-558388.75,-559734.375,-559019.458333333,-560116.25,-558829.625,-560065.9375,-559670.604166667
0.296,-560111.125,-556344.5625,-555546.1875,-557333.958333333,-559198.375,-558661.75,-559064.125,-558974.75,-560367.25,-558510.875,-559713.75,-559530.625
0.298,-556163.875,-557352.6875,-558566.25,-557360.9375,-560400.25,-558609.875,-556453.5,-558487.875,-557441.625,-558886.375,-559567.125,-558631.708333333
0.3,-559280.375,-558626.625,-556323.875,-558076.958333333,-558573.625,-560051.5,-558881.25,-559168.791666667,-558761.0625,-559008.1875,-559540.75,-559103.333333333
0.302,-560107.4375,-558426.3125,-559932,-559488.583333333,-559182.1875,-557504.125,-559636.1875,-558774.166666667,-559082.1875,-561000.25,-559157.625,-559746.6875
0.304,-556871.25,-556930.8125,-559348.875,-557716.979166667,-560066.25,-555727.3125,-557777.375,-557856.979166667,-559449.1875,-559137.625,-558068.0625,-558884.958333333
0.306,-556839.625,-557296.9375,-558944.375,-557693.645833333,-556791.5625,-558539.9375,-558961.1875,-558097.5625,-560063.4375,-561023.0625,-561292,-560792.833333333
0.308,-558163.125,-559987.9375,-556568.25,-558239.770833333,-559955.25,-555019.875,-560916.5,-558630.541666667,-559624.25,-559183,-558160.25,-558989.166666667
0.31,-558925.8125,-559598.75,-555873.625,-558132.729166667,-558127.5,-558336.5,-557588.0625,-558017.354166667,-557032.75,-558848.4375,-560302.625,-558727.9375
0.312,-558554.3125,-560337.4375,-558263.875,-559051.875,-560037.875,-559260.1875,-558802.3125,-559366.791666667,-561120.625,-556536.75,-560387.25,-559348.208333333
0.314,-558247.375,-560493.1875,-558394.8125,-559045.125,-557123.3125,-559673.5,-557339.9375,-558045.583333333,-557271.3125,-558417.9375,-557944.3125,-557877.854166667
0.316,-557343.375,-558189.6875,-557640.875,-557724.645833333,-556821.5,-559022.6875,-559407,-558417.0625,-559049,-560829,-557936.8125,-559271.604166667
0.318,-559185.4375,-559330.875,-557877.75,-558798.020833333,-557189.1875,-559840.8125,-557368.25,-558132.75,-558247.25,-559847.875,-560631.6875,-559575.604166667
0.32,-559731.625,-557810.5,-559321.1875,-558954.4375,-558341.125,-559917.4375,-557790.3125,-558682.958333333,-560087.25,-560413.625,-559352.875,-559951.25
0.322,-558255.875,-558938.25,-559960.125,-559051.416666667,-557339.75,-557340.375,-559112.1875,-557930.770833333,-560290.875,-558848.0625,-559838.375,-559659.104166667
0.324,-557486.125,-559472.125,-559129.5625,-558695.9375,-558297.5,-557773.75,-560068.875,-558713.375,-558272.625,-557922.375,-557739,-557978
0.326,-559015.375,-558851.375,-555948.375,-557938.375,-558987.625,-558413.1875,-558797.8125,-558732.875,-559065.3125,-558803.375,-559439,-559102.5625
0.328,-560511.25,-558148.6875,-558083.375,-558914.4375,-558883.5,-558379.5,-556582.75,-557948.583333333,-561982.375,-561635.5,-558259.625,-560625.833333333
0.33,-559133.25,-557617.5,-556035.75,-557595.5,-558140.0625,-557190.875,-557696.875,-557675.9375,-559299.25,-558824.3125,-557303.3125,-558475.625
0.332,-560351.625,-559341.25,-559098.625,-559597.166666667,-558958.625,-558349.5,-558585.5625,-558631.229166667,-559018.75,-558654.25,-559016.8125,-558896.604166667
0.334,-558875.5,-558686,-560543.875,-559368.458333333,-558400.1875,-555170.75,-558665.125,-557412.020833333,-560541.4375,-558138.3125,-559043.125,-559240.958333333
